"code_id","orderid","itemid","nama_pengguna","produk","review","rating","waktu_transaksi"
"10141437712_1725446523_301414380",178793532297209,10141437712,sizzkaa,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-04 17:42:00"
"10141437712_1725449818_180417086",178955747242796,10141437712,djamaljem,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-04 18:36:00"
"10141437712_1725464602_235555145",177327407268874,10141437712,chn812,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-04 22:43:00"
"10141437712_1725537341_354795463",179041092217901,10141437712,ardiansyah_230900,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-05 18:55:00"
"10141437712_1725538794_701141224",179033176234979,10141437712,fransiscaadhelaayu,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-05 19:19:00"
"10141437712_1725547832_10953940",178219048200750,10141437712,hendrix_wiranata,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-05 21:50:00"
"10141437712_1725557541_339344745",177671277210355,10141437712,rama_as,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-06 00:32:00"
"10141437712_1725597673_44899664",179070009255085,10141437712,kurniawanbudhipurnomo,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-06 11:41:00"
"10141437712_1725614086_160036930",178866187236559,10141437712,nurafnywindayani,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-06 16:14:00"
"10141437712_1725633550_89606714",178991382272098,10141437712,rubyooze,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-06 21:39:00"
"10141437712_1725682066_147150045",179282042269201,10141437712,alfingope0,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-07 11:07:00"
"10141437712_1725706521_266682345",179234504241484,10141437712,oktarianto87,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",4,"2024-09-07 17:55:00"
"10141437712_1725709139_368976395",179124145236461,10141437712,faiqbasuki_,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-07 18:38:00"
"10141437712_1725765703_166320821",178536935255681,10141437712,hajidthile,Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-08 10:21:00"
"10141437712_1725774030_1296118962",179073429230314,10141437712,"75ew5im5z6",Tuas Paha Rem NUI Racing Project +Per atau Non Per Universal original Thailand,"",5,"2024-09-08 12:40:00"
